Source,Target
10140,26572
10198,32545
10198,32545
11581,21186
11607,32851
11661,32545
11667,32545
11667,32545
11710,32851
11829,32545
11829,32545
11844,15980
11844,2313
11844,2449
11844,28499
11844,28499
11844,30994
11844,30994
11844,34245
11844,35076
11844,36229
11844,5911
11844,7867
11844,7867
12209,30555
12220,26876
12220,28353
1253,32545
1260,32545
13047,32545
13171,32545
13406,17184
13865,1683
13971,19759
14164,32545
1432,36131
14562,32545
14903,32545
14903,32545
14980,33393
15259,11844
15259,32545
15286,32545
15300,32545
15300,32545
15306,32545
15311,32545
15444,32336
15742,1683
15855,32545
16026,32545
16026,32545
16033,14971
16153,32545
16212,32545
16212,32545
17833,32545
18780,25371
19387,32545
19388,32545
19391,32545
19391,32545
19391,32545
19391,32545
19391,32545
19391,32545
19391,32545
19391,32545
19584,32545
22719,32545
22849,32545
22849,32545
22849,32545
22849,32545
22849,32545
2285,2313
23356,32545
23356,32545
24012,32545
24894,32545
24894,32545
25188,32545
25188,32545
25188,32545
25232,6535
25443,32545
25741,32545
25803,1079
25884,32545
25987,32545
26073,32545
26073,32545
26437,32545
26844,32545
26906,32545
26906,32545
26916,32545
27064,32545
27309,32545
27967,32545
28056,32545
28192,2313
28192,32545
28711,11844
29019,32545
29019,32545
29078,32545
29231,32545
29308,32545
29318,2313
29605,32545
30241,11844
30273,32545
30273,32545
30417,32545
30994,32545
31025,11844
32259,30134
32290,32545
32290,32545
32290,35855
32336,32545
32545,11844
32545,14680
32545,16325
32545,26053
32545,29599
32545,30994
32545,31025
32560,2313
32814,32545
32851,32545
33520,32545
34086,11844
34783,32545
34831,35433
35076,11844
35099,32545
35174,32545
35237,32545
35589,11581
35636,14971
35727,30032
35853,32545
35855,1683
35855,32545
35855,32545
36105,32545
37201,11844
37382,32545
37456,32545
4297,32545
4297,32545
5723,32545
6750,30032
7507,32545
7523,32545
8028,32545
8295,32545
8543,22128
8608,12113
9194,11844
9530,32545
9534,32545
9534,32545
9534,32545
9534,32545
9979,32545
10198,32545
23429,12113
31025,32545
28711,11844
3614,11844
16533,11844
11844,16533
11844,4538
16533,11844
11844,35076
15270,32545
15930,14768
3616,16533
29151,32545
20477,12113
29058,32545
6653,12113
8608,12113
16026,32545
16456,12113
12540,12113
16456,12113
20477,9365
34477,11844
8608,12113
15306,32545
35076,11844
3614,11844
20477,12540
20477,1538
28499,11844
10620,9326
9194,9326
20477,12113
20477,9365
16456,12113
20477,4670
8608,12113
16533,11844
6819,4670
16456,12113
31025,11844
11844,30994
30994,35076
12113,3731
12113,6819
30567,22072
34863,32545
35672,30555
6819,12540
12113,11844
35076,11844
8608,12113
20477,12113
20477,4670
3614,11844
8608,12113
20477,12540
29214,28688
33831,32545
35659,32545
26149,32545
27153,20477
33518,32545
8608,12113
25188,32545
25731,32545
30579,28688
9326,9331
16456,12113
20477,12113
6819,12113
16456,12113
35076,11844
22931,9194
34654,32545
34654,32545
11844,16533
12113,11844
14971,11844
20477,12113
22931,9194
35076,11844
3614,11844
9429,9365
8608,12113
12113,6819
20477,12113
25371,32545
30719,28688
29214,28688
194,9365
8608,12113
14112,11844
27280,32560
12113,9429
11844,17186
16456,12113
32851,35076
20477,12113
8608,12113
27162,32545
28711,3616
35076,11844
8608,12113
12113,12540
20477,12113
20477,1538
3731,12113
6653,12113
8967,15430
16456,12113
20477,12113
20477,9365
194,9365
29019,32545
34930,32545
6819,12113
6113,35096
13998,32545
20477,1538
12113,9429
8608,12113
10620,9326
28499,11844
31025,32545
34599,11581
30719,28688
28499,11844
19256,12113
19256,9365
16456,12113
19256,9365
36539,32545
13296,11844
11232,32545
22931,1057
12113,20477
12113,3731
35502,32545
8608,12113
11601,32545
16721,12113
20477,9365
310,12113
35659,32545
29165,32545
5080,32545
20477,1538
28295,32851
5911,11844
6819,1538
8608,12113
22931,1057
8902,32545
16456,12113
6853,11844
6853,33678
6853,3627
20477,12113
20477,9365
9429,12113
36556,32545
36153,11581
3731,9365
3982,1057
28499,11844
5517,32545
20477,9365
11844,28362
11844,35076
12113,20477
29796,32545
6819,12113
20477,9365
8902,32545
14052,30032
8608,12113
1545,12113
20494,32545
2579,32545
160,27124
22931,1057
26787,32545
28711,1057
31085,11844
22931,1057
20477,9365
30983,32851
2579,32545
34654,32545
8608,12113
6819,12113
11187,11844
31025,11844
31025,32545
3731,12113
1545,12113
36354,29127
8608,12113
6819,12540
13296,12113
20477,12113
6819,12113
15120,32545
22931,1057
22931,2400
23506,12113
23965,12113
35659,32545
36354,29127
8614,8609
11770,32545
26212,32545
36318,37299
24930,12113
1786,32851
6819,12113
36131,24855
8608,12113
6819,12540
16456,12113
20477,12113
38075,11844
35959,32545
30574,32545
30493,32545
32232,32545
25857,20356
20477,12113
27309,32545
8261,32545
32545,30994
7511,17338
31025,32545
33812,32545
14736,32545
20477,4670
6819,12113
8608,12113
28045,32545
31025,32545
213,11844
14971,32387
25769,35855
10162,32545
14483,11844
24552,11844
28227,17867
11844,28499
11844,28711
11844,35076
11844,35076
11844,3614
11844,7867
26053,27309
26053,32545
3953,32545
11770,32545
36556,32545
30633,32545
14272,8400
11844,28499
11844,7867
33576,32545
32722,32545
8608,12113
6819,12113
35400,37299
9194,16533
9194,3689
168,32545
25754,37242
32722,14903
20477,12113
34538,28394
16721,12113
12113,12540
15120,32545
20477,9365
27959,32545
423,32545
8608,12113
33415,32545
3627,12866
33520,32545
28499,35076
7867,35076
35076,11844
11383,32545
16533,11844
8608,12113
28394,32545
6819,12113
16456,12113
6113,3641
9194,9326
36168,32545
17391,32545
20477,12113
11844,28711
11844,32614
11844,35076
11844,3614
20477,9365
8608,12113
194,9365
35076,11844
8608,12113
30633,32545
11844,16533
16456,12113
20477,12113
20477,9365
9429,12113
4511,15920
24918,32545
28499,11844
7867,11844
194,9365
29461,32545
35076,11844
3982,32545
8608,12113
9194,9326
11383,32545
20477,12113
20477,9365
30981,23727
26906,32545
11383,11844
28499,35076
3982,32545
7867,35076
8608,12113
11844,28711
11844,35076
11844,3614
9429,12113
29019,32545
35076,11844
15220,23727
8608,12113
6819,12540
24012,32545
11844,15139
29209,30167
8608,12113
10874,32545
12113,12540
13296,11844
32332,32545
35076,11844
12113,20477
16153,32545
2579,32545
28853,26572
16456,12113
20477,9365
6819,12113
8608,12113
10874,32545
30060,32545
10167,32545
26327,32545
16885,9326
24012,32545
25310,32545
11844,16533
8608,12113
16721,12113
20477,9365
32722,32545
6819,12113
35076,11844
3731,12113
6819,12540
3982,32545
20477,12113
28661,32545
9429,4670
13927,33393
16456,12113
31025,32545
31025,32545
11844,13296
11427,32545
12113,11844
26473,32545
1268,32545
32321,32545
37501,32545
31025,32545
31025,32545
6819,12540
33470,32545
6727,18024
8608,12113
33925,32545
6819,12113
15259,32545
19350,30224
20477,12113
9429,12113
