Source,Target
10002,18850
10452,9194
10561,35855
11144,1599
11572,35838
11622,11623
11623,12199
11623,24566
11716,11844
11716,35838
11716,35838
11716,35838
11844,11689
11844,24090
11844,32539
11844,37176
11844,9194
11844,9195
11844,9195
12031,3983
1209,29749
12457,11844
12892,8902
13387,11623
1340,24566
13490,16819
13866,21052
13997,24566
14259,1209
14259,1209
15082,11375
15507,22432
15607,29157
16064,35838
16092,1209
16526,22272
16801,11844
17352,16286
18364,19683
19383,11623
19908,24566
19908,24674
19982,11844
2035,9194
22603,29157
2313,35838
23212,31363
23212,9194
23385,15175
23385,15175
23385,15175
23385,15175
2407,35838
24123,36856
24336,3641
24338,3641
24566,14692
24566,36232
24566,38178
24566,8055
24566,8055
24658,8575
25543,32539
26475,29157
26865,15175
26925,1696
27467,15175
28080,37200
29151,10002
29749,34769
29749,37120
30057,35838
30185,11752
30994,35838
30994,5058
31025,11844
31025,24566
31025,30594
32242,29157
32539,16801
32851,11623
32851,24566
33298,35855
33342,35663
34741,24566
34741,24566
34741,24566
35050,21241
35050,25776
35064,16184
35784,21800
35838,30594
35840,15175
35855,16184
36020,10002
3641,30912
3641,9194
36749,29157
37200,24566
37381,11623
5058,30994
5757,33520
6422,29157
6422,29157
8055,24566
8055,35838
9195,19683
9392,12113
9916,29157
9984,10171
2237,11844
28362,11844
30994,11844
30994,35838
33450,11844
35302,35838
36232,24566
36232,35838
35838,11844
35838,30594
11623,11844
24090,11844
5161,24566
5161,35855
23385,15175
35838,30594
12113,9392
30057,35838
31025,35838
4364,11844
4364,30594
4364,35838
5110,11844
14288,35838
9194,10452
9758,35838
1340,35838
1340,35838
4364,11844
4364,35838
5110,10002
5110,37200
7511,10002
16801,24679
24566,11623
30994,35838
1263,9758
14705,30594
16502,16819
16801,32539
23385,15175
9392,12113
24566,28362
24566,30994
24566,33450
11844,19908
11844,35754
11844,6209
35855,10002
35855,5145
12113,9392
25808,1209
30994,35838
4364,11844
4364,30594
4364,35838
7511,11844
26346,15175
28362,11844
30994,11844
31025,35838
33450,11844
35838,11623
13490,9365
30994,35838
9392,12113
14705,35838
2351,3572
31025,11844
31025,35838
32539,35838
37951,15175
4364,11844
4364,30594
4364,35838
26073,19908
11667,8055
30057,35838
31025,33564
31025,35838
32539,11844
13200,1340
13200,5161
7511,11844
30134,21656
30134,25596
9392,12113
9392,23034
14692,35838
24566,28362
24566,30994
24566,33450
4283,15175
14705,24566
15082,11375
30994,35838
31025,24566
31025,35838
36134,24566
4364,11844
4364,30594
4364,35838
25700,11375
11844,24090
12113,16819
8629,1340
8629,5161
30057,35838
31025,35838
31025,35838
15175,19334
15175,23571
15175,23571
15175,26691
23385,15175
24566,31025
32731,19908
32731,35754
32731,6209
10452,11844
11844,12476
18420,35838
29345,10002
29345,28463
30057,35838
31025,11844
7457,9044
14705,24566
31025,30594
31025,35838
36134,24566
36312,1209
10452,11844
9367,6980
15870,35838
16064,35838
16413,10002
30057,35838
10452,9194
31025,11844
31025,30594
31025,35838
15175,11805
15175,28011
31025,35838
4364,11844
4364,35838
5058,18409
5110,11844
15175,2087
24119,4364
35838,10002
36134,11844
36134,24566
13470,11844
14705,35838
19908,11844
19908,35838
2793,11844
2793,35838
31025,30594
31025,35838
5110,11844
28362,11844
28362,35838
30994,11844
30994,35838
30994,35838
31025,11844
33450,11844
33450,35838
38111,15175
38111,23385
4478,11844
1340,24566
35302,35838
5058,18409
11844,37223
12113,16819
13490,16819
31025,11844
31025,30594
31025,35838
5058,23034
15175,19334
15175,26691
29733,1209
30169,1209
30403,1209
4364,11844
4364,35838
9392,12113
9392,23034
31025,35838
31025,35838
34245,11844
9194,10452
12993,24566
14286,11844
14286,35838
14295,11844
14295,35838
18850,10002
27602,35838
27707,1913
30057,35838
35302,35838
35838,11623
5110,24566
9044,1913
31025,10002
31025,11844
31025,35838
35838,10002
35838,37200
5058,18409
5110,24566
6136,12113
31025,997
14286,35838
14295,35838
10057,10002
1340,24566
18850,10002
30994,14286
30994,14295
33450,14286
33450,14295
35838,4364
5381,11844
12113,11844
12113,5058
12113,9392
1340,24566
23020,10002
24674,2793
30032,15135
30032,25676
30032,35168
30032,7580
31025,10002
35838,16064
4487,11844
5161,24566
5161,24566
13997,11844
17625,16819
28667,11844
31025,35838
4483,11844
9392,12113
10004,11844
24090,11844
31025,11844
9143,19683
10133,1340
12113,11844
19667,11844
26949,24339
4483,11844
11623,10002
11623,37200
11623,5145
12113,11844
28362,11844
28362,35838
30057,35838
30994,11844
30994,35838
30994,35838
31025,35838
31025,35838
33450,11844
5058,18409
12633,19683
28420,15811
31025,11844
35302,35838
4364,11844
4364,35838
9712,35838
14286,11844
14286,24566
14286,28362
14286,35838
14295,11844
14295,24566
14295,28362
9195,19683
4258,35838
19667,9392
30994,35838
35302,35838
38141,10002
14705,24566
14705,35838
28362,11844
28362,35838
30994,11844
30994,35838
31025,10002
31025,33564
31025,35838
31025,35838
31025,35838
35838,10002
37775,29157
4472,11844
11623,10002
24099,11844
24566,10002
24566,31025
30994,35838
35838,11623
5110,11844
5110,24566
14705,35838
31025,11844
31025,35838
9392,12113
1340,35838
14705,35838
16801,25543
30994,35838
27602,35838
31025,11844
35302,11844
35302,35838
14259,1209
14286,35838
14295,35838
14705,24566
14705,35838
4364,35838
24566,31025
33064,29157
5058,18409
5058,19667
9392,18409
9392,19667
11623,35838
14286,11844
14286,11844
14286,35838
14295,11844
14295,11844
16220,997
24119,4364
13845,11844
34749,14275
35838,34124
12113,16819
23034,9365
24566,10002
28362,11844
28362,35838
31025,10002
31025,11844
31025,35838
10965,21656
23188,11844
24119,11844
5058,19667
14705,24566
16064,35838
18850,38141
26182,6535
28362,11844
28362,35838
19982,11844
23830,11844
23830,11844
2560,4364
35302,24566
5161,11844
5161,11844
5161,11844
15175,1228
24566,11623
24566,5110
31025,11844
31025,35838
7511,11844
24566,11623
5058,12113
5058,19667
7511,11844
9392,12113
9392,19667
11844,19667
12507,11844
14705,35838
16502,12113
30032,26945
4178,11844
5058,18409
5058,19667
5058,23034
8055,35838
16801,25543
19667,5058
19667,9392
28362,11844
28362,35838
10002,35838
24566,14286
24566,14295
31025,35838
3641,3572
37775,29157
5058,19667
8055,35838
9392,19667
24338,3572
24566,28362
28362,35838
8055,29599
14286,11844
14286,35838
14295,11844
15734,8055
